Categoria,Equipamento,CPU_SoC,RAM,Armazenamento,PoE nativo,Rugged_Fanless,Preco equipamento (R$),Link,Infraestrutura necessaria,Custo total estimado (R$),Quadras suportadas,Consumo (W),Observacoes,Recomendacao
Teste / POC,Notebook proprio + webcam,Varia,Varia,Varia,Nao,Nao,0,https://n/a,Camera IP emprestada + hotspot celular,0,1,30-60,Validar RTSP e upload antes de comprar. Nao escalavel.,ESSENCIAL - faca antes de comprar
Teste / POC,Raspberry Pi 4B 4GB + SSD USB,ARM Cortex-A72,4GB,SSD USB 128GB,Nao (HAT PoE extra),Nao (com cooler),700,https://www.pishop.us/,HAT PoE ~80 + cooler + case,~900,1,5-8,Limitado: nao aguenta buffer + live simultaneos por +2h. SD card quebra.,ALTERNATIVA BARATA para teste
Teste / POC,Orange Pi 5 8GB,Rockchip RK3588S,8GB,NVMe M.2 / MicroSD,Nao,Nao (dissipador obrigatorio),1134,https://www.reduza.com.br/orange-pi-5-8gb-rockchip-rk3588s-8-core-64-bit-computador-de-placa-unica-suporte-a-codec-de-video-8k-e-ate-24ghz-compativel-orange-piubuntudebianandroid-12-os-pi-5-8gb/pr,Fonte + case + dissipador + SSD NVMe,~1500,1,8-12,Fora de estoque no Brasil. 8K decode por hardware. NPU 6 TOPS para IA futura.,AGUARDAR ESTOQUE
Consumo - 1 quadra,GMKtec Nucbox G3,N100 / 4-core / QuickSync,16GB,1TB SSD NVMe,Nao,Nao,2681,https://www.amazon.com.br/GMKtec-16GB-1TB-Computador-Nucbox/dp/B0D5CLW8G8,Injetor PoE ~120 + cabo ~40,~2840,1,15-25,Windows 11. QuickSync acelera FFmpeg. Custo-beneficio bom para 1 quadra.,RECOMENDADO para 1 quadra
Consumo - 1 quadra,MeLE Quieter 4C,N100 / 4-core / QuickSync,16GB,512GB SSD,Nao,Sim (fanless),2379,https://www.amazon.com.br/s?k=MeLE+Quieter+4C,Injetor PoE ~120 + cabo ~40,~2540,1,15-25,Fanless = ideal para ambiente com poeira. Nao tem PoE - precisa injetor.,RECOMENDADO para 1 quadra (fanless)
Consumo - 1 quadra,Beelink Mini S12 Pro,N100 / 4-core / QuickSync,16GB,500GB SSD,Nao,Nao,2698,https://www.amazon.com.br/s?k=Beelink+Mini+S12+Pro,Injetor PoE ~120 + cabo ~40,~2860,1,15-25,Similar ao GMKtec. Windows 11. QuickSync.,RECOMENDADO para 1 quadra
ARM - 1 quadra,Orange Pi 5 Plus 16GB,Rockchip RK3588,16GB,NVMe M.2 + eMMC,Nao,Nao (dissipador),390 USD (~2000),https://orangepi.net/product/orange-pi-5-plus-16gb,Fonte + case + dissipador + SSD + cabo + injetor PoE,~2400,1-2,10-15,Dual 2.5GbE = conecta 2 cameras ou gateway multi-quadra. Importacao com risco.,OPCAO FUTURA (multi-quadra leve)
Industrial - 2-4 quadras,Neousys POC-715,Core i3-N305 ou Atom x7425E,Varia (ate 32GB),M.2 2280 SSD,Sim (4x GbE PoE+),Sim (fanless -25 a +70C),Sob cotacao,https://www.assured-systems.com/pt/neousys-poc-715/,Cabo Ethernet ~50 x4 + cameras,~5000-8000 (estimado),4,20-30,Unico com 4x PoE+. Fanless industrial. Suporta 4 cameras/quadras com 1 so equipamento.,RECOMENDADO para multi-quadra
Industrial - 2 cameras,T-PI IPC IBOX-205-4L2C2P,Core i5/i7 ou Celeron 6305E,Varia,M.2 + Mini-PCIe,Sim (2x PoE) + 2x 2.5GbE,Sim (industrial -10 a +55C),Sob cotacao,https://www.tpipc.com/product/ibox-205-4l2c2p/,Cabo Ethernet ~50 x2 + cameras + switch se +2 cameras,~4000-6000 (estimado),2,25-35,2x PoE + 2x 2.5GbE. Rede mais rapida que POC-715. Nao escala para 4 sem switch.,ALTERNATIVA industrial
Edge AI - 1 quadra + IA futura,reComputer J3011 (Jetson Orin Nano 8GB),ARM + NVIDIA Ampere / 40 TOPS,8GB,128GB SSD,Nao,Nao,11310,https://www.performancesolutions.com.br/recomputer-j3011-edge-ai-device-nvidia-jetson-orin-nano-8gb-inteligencia-artificial,Injetor PoE ~120 + cabo ~40,~11500,1,15-25,Overkill para Momentum hoje. So faz sentido se adicionar IA (detecao de bola/jogadores).,NAO RECOMENDADO (custo)
Edge AI - 1 quadra + IA futura,ASUS PE1100N (Jetson Orin NX 16GB),ARM + NVIDIA / 100 TOPS,16GB DDR5,128GB SSD,Nao,Sim (fanless trilho DIN),23409,https://ecoautomacao.com.br/produto/computador-edge-ai-fanless-arm-cortex-a78ae-ram-16gb-ddr5-ssd-128gb-nvidia-jetson-orin-nx-16gb-pe1100n-nx16g-asus/,Injetor PoE ~120 + cabo ~40,~23600,1,20-30,Extremamente caro. Industrial com trilho DIN. Para IA pesada + visao computacional.,NÃO RECOMENDADO (custo proibitivo)
